54,139,177,1
32,283,36,1
57,203,348,1
23,239,198,1
46,10,316,1
22,164,23,1
45,212,237,1
42,80,197,1
27,222,30,1
53,231,0,1
34,330,243,1
60,182,29,1
27,330,324,1
22,273,66,1
37,149,343,1
59,309,263,1
49,78,114,1
27,162,80,1
19,158,218,1
54,36,9,1
19,23,233,1
56,298,13,1
36,247,72,0
64,251,235,1
27,214,217,1
50,41,155,1
38,346,166,1
48,189,218,1
42,359,86,1
20,94,171,1
30,193,317,1
24,192,261,1
50,221,184,1
20,112,329,1
59,88,107,1
39,290,52,1
56,132,121,1
26,44,50,1
27,309,222,1
49,218,152,1
60,38,219,1
39,237,198,1
56,248,70,0
44,164,87,1
36,113,79,1
52,103,222,1
33,131,249,1
45,323,317,1
28,70,251,1
31,242,135,1
50,125,43,1
44,230,246,1
62,218,299,1
44,93,227,1
51,355,277,1
27,128,165,1
26,63,130,1
45,116,39,1
23,341,15,1
61,146,10,1
40,316,37,1
33,202,99,1
46,236,124,1
51,117,103,1
48,32,252,1
47,256,310,1
21,115,336,1
27,44,237,1
59,104,263,1
58,114,216,1
20,41,315,1
52,160,325,1
19,154,71,1
36,272,211,1
40,215,11,1
38,105,169,1
21,20,111,1
34,134,113,1
33,205,148,1
55,316,74,0
41,132,204,1
65,220,309,1
47,351,40,1
27,219,186,1
53,160,160,1
53,180,159,1
48,73,159,1
41,24,11,1
61,164,23,1
60,20,196,1
42,260,235,1
50,23,14,1
63,300,29,0
59,139,266,1
34,38,85,1
55,50,109,1
49,73,134,1
65,268,337,0
51,243,276,1
25,24,145,1
62,52,89,1
44,82,289,1
34,147,118,1
63,143,111,1
30,44,59,1
25,153,170,1
51,286,292,1
43,83,109,1
49,203,159,1
46,138,11,1
45,190,305,1
52,154,294,1
36,235,256,1
51,74,260,1
19,263,327,1
18,137,70,1
40,359,243,1
26,206,169,1
24,93,23,1
50,185,341,1
40,156,49,1
45,238,352,1
23,192,224,1
31,95,179,1
58,39,14,1
23,32,346,1
43,319,305,1
55,113,73,1
47,303,136,0
24,155,20,1
43,7,298,1
31,72,75,1
43,125,52,1
56,341,310,1
53,319,105,0
54,305,128,0
33,142,260,1
35,183,216,1
56,58,359,1
42,85,170,1
57,154,276,1
39,173,205,1
58,49,141,1
60,340,267,1
57,76,121,1
42,84,102,1
61,106,116,1
26,229,287,1
42,320,141,1
61,290,237,1
64,2,170,1
34,176,356,1
33,192,161,1
64,302,212,0
34,316,314,1
45,46,359,1
43,292,327,1
42,328,284,1
19,60,18,1
64,22,111,0
49,300,63,0
24,109,147,1
49,306,192,1
27,283,265,1
46,326,124,0
29,220,320,1
50,154,51,1
20,2,288,1
57,51,221,1
35,63,271,1
24,82,350,1
42,253,85,0
59,161,355,1
49,95,59,1
32,230,14,1
63,104,212,1
20,285,42,1
40,154,284,1
18,144,190,1
30,356,175,1
36,9,351,1
33,210,358,1
22,38,319,1
27,123,81,1
46,71,23,1
57,285,178,0
49,5,140,1
46,351,87,1
44,3,354,1
35,318,72,1
32,249,138,1
21,198,358,1
53,92,142,1
46,320,254,1
36,236,68,0
37,104,334,1
54,334,187,1
44,106,147,1
40,306,179,1
28,83,339,1
28,26,19,1
37,217,155,1
53,249,194,1
54,180,255,1
38,22,153,1
54,34,351,1
62,295,68,0
31,265,138,1
40,299,352,1
48,112,299,1
58,335,25,1
64,71,285,1
26,120,26,1
33,82,243,1
32,207,131,1
59,170,286,1
28,63,241,1
41,88,354,1
62,154,72,0
58,58,292,1
55,34,195,1
21,272,353,1
44,348,285,1
23,290,152,1
30,85,72,1
29,169,186,1
20,170,20,1
51,311,209,1
53,215,349,1
58,34,358,1
60,265,236,1
55,75,352,1
34,101,357,1
62,214,73,0
27,93,336,1
24,251,347,1
23,253,326,1
55,65,280,1
19,120,278,1
23,149,211,1
21,171,280,1
40,163,79,1
62,272,143,0
55,176,58,1
20,201,111,1
26,236,293,1
57,35,147,1
50,283,55,0
47,337,47,1
55,326,174,1
37,267,353,1
23,72,170,1
29,7,75,1
58,1,112,0
30,323,138,1
23,35,313,1
29,149,168,1
32,5,46,1
59,175,91,0
22,105,13,1
23,311,183,1
37,15,217,1
46,250,23,1
52,292,44,1
43,226,235,1
28,317,295,1
59,125,174,1
32,351,315,1
33,47,201,1
30,168,257,1
54,137,247,1
33,25,56,1
37,126,358,1
47,54,279,1
40,214,59,1
36,30,208,1
47,304,353,1
43,100,174,1
62,170,98,0
45,84,206,1
55,346,268,1
58,191,182,1
62,300,67,0
23,222,258,1
39,245,61,0
24,153,306,1
40,261,98,0
24,11,272,1
56,283,85,0
54,107,280,1
22,3,296,1
31,240,343,1
57,306,328,1
57,335,278,1
20,93,48,1
59,79,207,1
52,39,51,1
56,107,161,1
34,84,53,1
56,80,53,1
57,75,63,1
40,55,33,1
19,140,337,1
51,97,158,1
54,357,200,1
31,92,2,1
48,9,347,1
62,13,262,1
63,325,111,0
19,193,106,1
55,182,146,1
19,265,282,1
32,239,14,1
32,91,326,1
58,76,85,1
46,234,293,1
57,154,52,1
19,57,243,1
39,110,153,1
19,250,12,1
28,169,211,1
52,195,79,1
59,358,88,0
35,144,60,1
50,242,279,1
33,343,131,1
62,221,123,0
39,93,141,1
42,113,78,1
46,99,3,1
47,15,167,1
31,139,345,1
21,87,319,1
21,1,272,1
34,78,137,1
24,79,336,1
31,327,89,1
21,352,36,1
